ADM2_NAME,tahun,bulan,probabilitas_risiko_historis,total_hujan_lag2,total_hujan_lag3,max_hth_lag2,max_hth_lag3,kat_value_lag2,kat_value_lag3,hujan_akumulasi_vegetatif,max_hth_vegetatif,rasio_hujan_lag2,rasio_hujan_lag3,rasio_kat_lag2,rasio_kat_lag3,STATUS_PANEN,Prob_Waspada(%),Prob_Kritis(%),FAKTOR_DOMINAN
BLITAR,2026,6,0.3571428571428571,201.4407984544544,287.94481439104084,5.692263396788834,3.4737561334404368,263.5913186195283,264.03371117907227,489.3856128454953,5.692263396788834,1.0321694384158926,0.9263027877385124,0.5978143099622418,0.5760636300094583,⚠️ WASPADA,94.4,0.3,total_hujan_lag2
BLITAR,2026,7,0.3571428571428571,136.36312336871055,201.4407984544544,15.0,5.692263396788834,242.1604121865533,263.5913186195283,337.80392182316496,15.0,1.0,1.0321694384158926,0.600704515425864,0.5978143099622418,⚠️ WASPADA,79.8,0.3,total_hujan_lag2
BOJONEGORO,2026,5,0.3452380952380952,320.51863183033146,361.565159308057,2.0771065595022025,1.0543427534353116,255.85265750583312,255.85265750583312,682.0837911383885,2.0771065595022025,1.0501570179725723,1.1477501680042457,0.5772779081138601,0.5775350019479589,⚠️ WASPADA,94.8,0.0,total_hujan_lag2
BOJONEGORO,2026,6,0.3452380952380952,162.45596095136565,320.51863183033146,5.058128078817731,2.0771065595022025,255.10064920922983,255.85265750583312,482.9745927816971,5.058128078817731,0.8768219569848319,1.0501570179725723,0.5904584491608131,0.5772779081138601,⚠️ WASPADA,64.8,0.1,total_hujan_lag2
BOJONEGORO,2026,7,0.3452380952380952,129.6178749429215,162.45596095136565,15.0,5.058128078817731,228.56386621726708,255.10064920922983,292.0738358942872,15.0,1.0,0.8768219569848319,0.5636810372597975,0.5904584491608131,⚠️ WASPADA,71.8,0.1,total_hujan_lag2
BONDOWOSO,2026,5,0.1071428571428571,399.2865669073085,565.2062847807384,7.561300762888188,2.7893195653849125,314.672358788626,314.672358788626,964.4928516880468,7.561300762888188,1.199305517373046,1.487896918895706,0.555257500989304,0.5644446588000225,✅ AMAN,0.6,0.0,probabilitas_risiko_historis
BONDOWOSO,2026,6,0.1071428571428571,177.00627881365233,399.2865669073085,8.693765893503892,7.561300762888188,314.5588102026663,314.672358788626,576.2928457209608,8.693765893503892,0.9198322155625428,1.199305517373046,0.5672207784919904,0.555257500989304,✅ AMAN,4.2,0.0,probabilitas_risiko_historis
BONDOWOSO,2026,7,0.1071428571428571,111.32162374230852,177.00627881365233,15.0,8.693765893503892,299.96855205363335,314.5588102026663,288.32790255596086,15.0,1.0,0.9198322155625428,0.5820721943803644,0.5672207784919904,✅ AMAN,0.1,0.0,probabilitas_risiko_historis
GRESIK,2026,5,0.1428571428571428,293.80239667825015,332.8760074354377,4.424575108202261,3.7427425314050464,228.08636217777303,228.08636217777303,626.6784041136879,4.424575108202261,1.0909998414061133,1.1414100653596957,0.5747913804223871,0.5835700567040187,✅ AMAN,10.0,0.0,probabilitas_risiko_historis
GRESIK,2026,6,0.1428571428571428,161.8282669656924,293.80239667825015,8.373588092473346,4.424575108202261,224.50001711412983,228.08636217777303,455.6306636439425,8.373588092473346,0.8590579573110485,1.0909998414061133,0.5773145333169434,0.5747913804223871,✅ AMAN,32.7,0.1,probabilitas_risiko_historis
GRESIK,2026,7,0.1428571428571428,127.9102140698278,161.8282669656924,15.0,8.373588092473346,197.86556851000108,224.50001711412983,289.7384810355202,15.0,1.0,0.8590579573110485,0.5405691127038251,0.5773145333169434,✅ AMAN,7.6,0.1,probabilitas_risiko_historis
JEMBER,2026,5,0.1309523809523809,349.47480273798567,539.4980380912461,6.30166902461041,2.154167369928764,323.0040477640396,321.4153589404884,888.9728408292318,6.30166902461041,1.1183103785370705,1.6222520784347512,0.5716343077079172,0.5742435033324546,✅ AMAN,0.9,0.0,probabilitas_risiko_historis
JEMBER,2026,6,0.1309523809523809,209.63425242089767,349.47480273798567,8.498146210071287,6.30166902461041,321.37036714004955,323.0040477640396,559.1090551588834,8.498146210071287,1.194516847898112,1.1183103785370705,0.5857163310587172,0.5716343077079172,✅ AMAN,7.3,0.0,probabilitas_risiko_historis
JEMBER,2026,7,0.1309523809523809,132.77069496977754,209.63425242089767,15.0,8.498146210071287,303.903483347726,321.37036714004955,342.4049473906752,15.0,1.0,1.194516847898112,0.6045640135432938,0.5857163310587172,✅ AMAN,0.5,0.0,probabilitas_risiko_historis
JOMBANG,2026,5,0.2857142857142857,361.63970045123926,453.9409920630128,2.3020499679692508,1.0639547298740122,278.959801409353,278.959801409353,815.5806925142521,2.3020499679692508,1.1127651569809238,1.2272852085831294,0.6512790507773092,0.6553644883672145,⚠️ WASPADA,53.0,0.0,probabilitas_risiko_historis
JOMBANG,2026,6,0.2857142857142857,150.0930827338549,361.63970045123926,6.802797352124707,2.3020499679692508,277.7348259662609,278.959801409353,511.73278318509415,6.802797352124707,0.8716297616628492,1.1127651569809238,0.6711261962877144,0.6512790507773092,✅ AMAN,45.9,0.1,probabilitas_risiko_historis
JOMBANG,2026,7,0.2857142857142857,117.450833126023,150.0930827338549,15.0,6.802797352124707,247.31417680973743,277.7348259662609,267.5439158598779,15.0,1.0,0.8716297616628492,0.6451390849537924,0.6711261962877144,✅ AMAN,33.3,0.2,probabilitas_risiko_historis
KEDIRI,2026,5,0.2857142857142857,369.61629999300817,464.95269590842,2.810267854034521,1.0286026611336625,291.72488804021646,291.72488804021646,834.5689959014283,2.810267854034521,1.1357795961564212,1.318250599500559,0.5891732455863126,0.5908187579909753,✅ AMAN,17.4,0.0,probabilitas_risiko_historis
KEDIRI,2026,6,0.2857142857142857,200.8049215153584,369.61629999300817,5.107232824826108,2.810267854034521,291.707562312443,291.72488804021646,570.4212215083666,5.107232824826108,1.0327814773174375,1.1357795961564212,0.6079973776902018,0.5891732455863126,⚠️ WASPADA,74.5,0.1,total_hujan_lag2
KEDIRI,2026,7,0.2857142857142857,122.57780756800123,200.8049215153584,15.0,5.107232824826108,268.8732134268188,291.707562312443,323.38272908335966,15.0,1.0,1.0327814773174375,0.6043030009352837,0.6079973776902018,⚠️ WASPADA,54.3,0.4,total_hujan_lag2
LAMONGAN,2026,5,0.3333333333333333,315.65170727177707,352.57925558446243,3.2203552568410934,3.0469789452026594,263.1020231808517,263.1020231808517,668.2309628562396,3.2203552568410934,1.1379321291341395,1.1737893884873103,0.5154868792131979,0.521112836842237,⚠️ WASPADA,71.4,0.0,total_hujan_lag2
LAMONGAN,2026,6,0.3333333333333333,142.1475039184457,315.65170727177707,7.03449694808312,3.2203552568410934,260.19605651189903,263.1020231808517,457.7992111902228,7.03449694808312,0.8180532492600594,1.1379321291341395,0.5201944033809575,0.5154868792131979,⚠️ WASPADA,76.0,0.0,total_hujan_lag2
